"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"36","New York","4-year","Private not-for-profit","72.7","23.0","22.6","101329","95725","259.46"
"36","New York","4-year","Private for-profit","72.4","23.1","19.0","56624","42645","259.46"
"36","New York","2-year","Public","62.1","16.3","14.2","67695","42759","259.46"
"36","New York","2-year","Private not-for-profit","49.4","31.3","25.0","40897","42217","259.46"
"36","New York","2-year","Private for-profit","70.9","21.2","26.3","39424","19798","259.46"
"37","North Carolina","4-year","Public","65.3","19.3","20.5","79580","68617","415.00"
"37","North Carolina","4-year","Private not-for-profit","76.4","21.0","22.6","146250","95725","415.00"
"37","North Carolina","4-year","Private for-profit","67.3","20.5","19.0","37607","42645","415.00"
"37","North Carolina","2-year","Public","26.6","12.5","14.2","39700","42759","415.00"
"37","North Carolina","2-year","Private not-for-profit","79.3","11.0","25.0","115023","42217","415.00"
"37","North Carolina","2-year","Private for-profit","68.0","33.3","26.3","15663","19798","415.00"
"38","North Dakota","4-year","Public","67.2","20.2","20.5","69506","68617","462.00"
"38","North Dakota","4-year","Private not-for-profit","79.3","21.6","22.6","38945","95725","462.00"
"38","North Dakota","4-year","Private for-profit","26.4","20.3","19.0","58040","42645","462.00"
"38","North Dakota","2-year","Public","28.5","28.7","14.2","41165","42759","462.00"
"38","North Dakota","2-year","Private not-for-profit","95.6","17.2","25.0","104241","42217","462.00"
"38","North Dakota","2-year","Private for-profit","","","26.3","","19798","462.00"
"39","Ohio","4-year","Public","77.9","18.2","20.5","77054","68617","197.84"
"39","Ohio","4-year","Private not-for-profit","72.6","22.6","22.6","72533","95725","197.84"
"39","Ohio","4-year","Private for-profit","71.0","23.1","19.0","52086","42645","197.84"
"39","Ohio","2-year","Public","36.8","14.2","14.2","49073","42759","197.84"
"39","Ohio","2-year","Private not-for-profit","39.3","35.4","25.0","49198","42217","197.84"
"39","Ohio","2-year","Private for-profit","68.7","28.4","26.3","26347","19798","197.84"
"40","Oklahoma","4-year","Public","87.3","20.4","20.5","56397","68617","294.09"
"40","Oklahoma","4-year","Private not-for-profit","82.0","21.6","22.6","72394","95725","294.09"
"40","Oklahoma","4-year","Private for-profit","82.6","24.0","19.0","34531","42645","294.09"
"40","Oklahoma","2-year","Public","28.9","16.8","14.2","44484","42759","294.09"
"40","Oklahoma","2-year","Private not-for-profit","","","25.0","","42217","294.09"
"40","Oklahoma","2-year","Private for-profit","100.0","37.7","26.3","13540","19798","294.09"
"41","Oregon","4-year","Public","47.4","21.0","20.5","53192","68617","169.39"
"41","Oregon","4-year","Private not-for-profit","73.8","23.2","22.6","72412","95725","169.39"
"41","Oregon","4-year","Private for-profit","90.2","27.4","19.0","37527","42645","169.39"
"41","Oregon","2-year","Public","27.3","13.1","14.2","73263","42759","169.39"
"41","Oregon","2-year","Private not-for-profit","","","25.0","","42217","169.39"
"41","Oregon","2-year","Private for-profit","44.7","36.3","26.3","20133","19798","169.39"
"42","Pennsylvania","4-year","Public","72.7","20.2","20.5","79514","68617","165.78"
"42","Pennsylvania","4-year","Private not-for-profit","73.0","21.9","22.6","110267","95725","165.78"
"42","Pennsylvania","4-year","Private for-profit","46.2","17.9","19.0","84858","42645","165.78"
"42","Pennsylvania","2-year","Public","43.7","14.2","14.2","59074","42759","165.78"
"42","Pennsylvania","2-year","Private not-for-profit","70.5","20.6","25.0","34121","42217","165.78"
