CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/31/1989,2274906,VIRGINIA SCHOOLS,EXTENSION FACILITY LOCATION,1565 CHOCTAW DR,BATON ROUGE,LA,70805,
12/31/1989,2274907,VIRGINIA SCHOOLS,BRANCH CAMPUS LOCATION,1118 W MAIN ST,RICHMOND,VA,23220,
12/31/1989,2315100,LYNNS INSTITUTE OF COSMETOLOGY,LYNNS INSTITUTE OF COSMETOLOGY,900 PAYNE AVENUE,ST PAUL,MN,55101,
12/31/1989,2321500,MBC MEDICAL EDUCL CTR,MBC MEDICAL EDUCL CTR,8313 W HILLSBOROUGH BLDG 2,TAMPA,FL,33615,
12/31/1989,2332816,CENTER FOR EMPLOYMENT TRAINING,CENTER FOR EMPLOYMENT TRAINING,2621 SELTICE WAY,COEUR D' ALENE,ID,83814-8975,
12/31/1989,2358100,SOUTH FLORIDA VOCATIONAL TECHNICAL CENTER,SOUTH FLORIDA VOCATIONAL TECHNICAL CENTER,5635 49TH STREET NORTH,ST. PETERSBURG,FL,33709,
12/31/1989,2518203,JOCELYN DASPIT BEAUTY COLLEGES JEFFESON BRANCH,BRANCH CAMPUS,EXPWY & FRIED ST LOCATION CLOSED,GRETNA,LA,70053,
12/31/1990,171800,MALLINCKRODT COLLEGE OF THE NORTH SHORE,MALLINCKRODT COLLEGE OF THE NORTH SHORE,1041 RDG RD,WILMETTE,IL,60091,
12/31/1990,249810,PARK UNIVERSITY,PARK COLLEGE - FORT JACKSON,ARMY EDUCATION CENTER,FORT JACKSON,SC,29207-0000,
12/31/1990,690900,PHILLIPS JUNIOR COLLEGE OF COLUMBIA,PHILLIPS JUNIOR COLLEGE OF COLUMBIA,1700 LAUREL STREET,COLUMBIA,SC,29201,
12/31/1990,1121907,COLUMBIA SCHOOL OF BROADCASTING HOME STUDY,COLUMBIA SCHOOL OF BROADCASTING,5858 HOLLYWOOD BLVD,HOLLYWOOD,CA,0,
12/31/1990,2160402,WILFRED ACADEMY OF HAIR DESIGN & BEAUTY CULTURE,BRANCH CAMPUS,13039 S HAWTHORNE BLVD,HAWTHORNE,CA,90250,
